0,CombatZoneResize,133,251,508,391,,
0,HeartTeleport,320,377,,,,
0,HeartMode,1,,,,,
0,SET,LOOP,4,,,,
0,:LOOP1,,,,,,
0.4,BoneV,503,256,50,2,300,
0,BoneV,503,321,65,2,300,
0.4,BoneV,503,281,105,2,300,1
0,BoneV,518,281,105,2,300,1
0.4,BoneV,503,281,105,2,300,2
0,BoneV,518,281,105,2,300,2
0,GetHeartPos,HX,HY,,,,
0,SUB,HXE,$HX,5,,,
0,BoneV,$HXE,226,30,1,300,
0.2,BoneStab,1,50,0.6,0.2,,
0.6,BoneV,128,256,50,0,300,
0,BoneV,128,321,65,0,300,
0.4,BoneV,128,281,105,0,300,1
0,BoneV,113,281,105,0,300,1
0.4,BoneV,128,281,105,0,300,2
0,BoneV,113,281,105,0,300,2
0,GetHeartPos,HX,HY,,,,
0,SUB,HXE,$HX,5,,,
0,BoneV,$HXE,226,30,1,300,
0.2,BoneStab,1,50,0.6,0.2,,
0,SUB,LOOP,$LOOP,1,,,
0.2,JMPNZ,LOOP1,$LOOP,,,,
0.8,CombatZoneResize,238,251,403,391,,
0.4,SET,LOOP,8,,,,
0,:LOOP2,,,,,,
0,BoneV,128,256,100,0,300,
0,BoneV,503,256,100,2,300,
0,BoneV,128,371,15,4,300,
0,BoneV,503,371,15,6,300,
0.4,BoneV,128,281,105,0,300,1
0,BoneV,503,281,105,2,300,1
0,SUB,LOOP,$LOOP,1,,,
0.4,JMPNZ,LOOP2,$LOOP,,,,
0.8,EndAttack,,,,,,
