0,BlackScreen,1,,,,,,,
0,Sound,flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,flash,,,,,,,
0,SET,LOOP,7,,,,,,
0,:LOOP0,,,,,,,,
0,RND,RA,6,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,flash,,,,,,,
0.2,BlackScreen,0,,,,,,,
0,Sound,flash,,,,,,,
0,JMPE,RA1,$RA,1,,,,,
0,JMPE,RA2,$RA,2,,,,,
0,JMPE,RA4,$RA,3,,,,,
0,JMPE,RA5,$RA,4,,,,,
0,JMPE,RA7,$RA,5,,,,,
0,JMPE,RA11,$RA,6,,,,,
0,CombatZoneResizeInstant,133,226,508,391,,,,
0,HeartTeleport,320,308,,,,,,
0,HeartMode,0,,,,,,,
0,SET,LOOP1,19,,,,,,
0,SET,A,0,,,,,,
0,:LOOP1,,,,,,,,
0,SIN,Y1,$A,,,,,,
0,MUL,Y2,$Y1,25,,,,,
0,ADD,Y3,$Y2,60,,,,,
0,BoneV,128,231,$Y3,0,400,,,
0,BoneV,503,231,$Y3,2,400,,,
0,ADD,Y4,$Y3,253,,,,,
0,SUB,H1,386,$Y4,,,,,
0,BoneV,128,$Y4,$H1,0,400,,,
0,BoneV,503,$Y4,$H1,2,400,,,
0,ADD,A,$A,30,,,,,
0,SUB,LOOP1,$LOOP1,1,,,,,
0.1,JMPNZ,LOOP1,$LOOP1,,,,,,
0,JMPABS,AE,,,,,,,
0,:RA1,,,,,,,,
0,CombatZoneResizeInstant,133,226,403,391,,,,
0,HeartTeleport,158,308,,,,,,
0,HeartMode,0,,,,,,,
0,SineBones,35,25,450,50,,,,
0,SET,LOOP2,7,,,,,,
0,SET,X1,158,,,,,,
0,:LOOP2,,,,,,,,
0,GasterBlaster,1,0,0,$X1,180,90,0.07,0.2
0,ADD,X1,$X1,30,,,,,
0,SUB,LOOP2,$LOOP2,1,,,,,
0.2,JMPNZ,LOOP2,$LOOP2,,,,,,
0.5,JMPABS,AE,,,,,,,
0,:RA2,,,,,,,,
0,CombatZoneResizeInstant,238,226,508,391,,,,
0,HeartTeleport,483,308,,,,,,
0,HeartMode,0,,,,,,,
0,SineBones,35,-25,450,50,,,,
0,SET,LOOP3,7,,,,,,
0,SET,X1,483,,,,,,
0,:LOOP3,,,,,,,,
0,GasterBlaster,1,640,0,$X1,180,90,0.07,0.2
0,SUB,X1,$X1,30,,,,,
0,SUB,LOOP3,$LOOP3,1,,,,,
0.2,JMPNZ,LOOP3,$LOOP3,,,,,,
0.5,JMPABS,AE,,,,,,,
0,:RA4,,,,,,,,
0,CombatZoneResizeInstant,238,226,403,391,,,,
0,HeartTeleport,320,308,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,2,640,480,138,126,45,0.2,0
0,GasterBlaster,2,0,480,503,126,135,0.2,0
0.5,GasterBlaster,2,320,0,320,126,90,0.2,0
0,GasterBlaster,2,0,308,138,308,0,0.2,0
0.5,GasterBlaster,2,0,371,138,371,0,0.2,0
0,GasterBlaster,2,258,0,258,126,90,0.2,0
0,GasterBlaster,2,640,246,503,246,180,0.2,0
0,GasterBlaster,2,383,480,383,491,270,0.2,0
0.9,JMPABS,AE,,,,,,,
0,:RA5,,,,,,,,
0,CombatZoneResizeInstant,238,226,403,391,,,,
0,HeartTeleport,383,308,,,,,,
0,HeartMode,0,,,,,,,
0,SET,LOOP5,13,,,,,,
0,SET,A0,30,,,,,,
0,:LOOP5,,,,,,,,
0,SET,LOOP6,6,,,,,,
0,:LOOP6,,,,,,,,
0,GasterBlaster,-1,320,308,320,308,$A0,0.2,0
0,SUB,A0,$A0,60,,,,,
0,SUB,LOOP6,$LOOP6,1,,,,,
0,JMPNZ,LOOP6,$LOOP6,,,,,,
