0,CombatZoneResize,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0,PurplePlatformRepeat,68,297,70,0,150,20,120
0,PurplePlatformRepeat,503,344,70,2,150,20,120
0,SET,LOOP,40,,,,,
0,:LOOP1,,,,,,,
0,RND,Y1,3,,,,,
0,MUL,Y2,$Y1,47,,,,
0,ADD,Y3,$Y2,256,,,,
0,RND,X,2,,,,,
0,JMPE,X1,$X,1,,,,
0,BoneV,128,$Y3,36,0,150,,
0,JMPABS,XE1,,,,,,
0,:X1,,,,,,,
0,BoneV,503,$Y3,36,2,150,,
0,:XE1,,,,,,,
0.2,RND,Y1,3,,,,,
0,MUL,Y2,$Y1,47,,,,
0,ADD,Y3,$Y2,256,,,,
0,RND,X,2,,,,,
0,JMPE,X2,$X,1,,,,
0,BoneV,128,$Y3,36,0,150,2,
0,JMPABS,XE2,,,,,,
0,:X2,,,,,,,
0,BoneV,503,$Y3,36,2,150,2,
0,:XE2,,,,,,,
0,SUB,LOOP,$LOOP,1,,,,
0.2,JMPNZ,LOOP1,$LOOP,,,,,
2,EndAttack,,,,,,,
