0,CombatZoneResize,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0,BoneVRepeat,128,346,40,0,150,145,15
1.8,PurplePlatform,88,346,40,0,200,,
1.2,PurplePlatform,88,346,40,0,300,,
1.8,SansSlam,3,,,,,,
0,SansBody,HandUp,,,,,,
0,BoneVRepeat,128,256,40,0,240,50,60
3,Platform,503,346,40,2,75,,
0.4,SansSlam,1,,,,,,
0,SansBody,HandDown,,,,,,
0,BoneStab,1,70,0.4,0.2,,,
0,BoneVRepeat,128,316,70,0,200,5,200
0,BoneVRepeat,113,316,70,0,200,5,200
4.8,PurplePlatform,88,346,40,0,150,,
0.4,SET,LOOP,11,,,,,
0,:LOOP1,,,,,,,
0,GetHeartPos,HX,HY,,,,,
0,SUB,HX2,$HX,5,,,,
0,BoneV,$HX2,217,30,1,200,,
0,SUB,LOOP,$LOOP,1,,,,
0.2,JMPNZ,LOOP1,$LOOP,,,,,
0.8,BoneV,503,256,130,2,180,,
0,BoneStab,1,60,0.8,0.2,,,
1.8,EndAttack,,,,,,,
