0,BlackScreen,1,,,,,,
0,Sound,flash,,,,,,
0.4,BlackScreen,0,,,,,,
0,Sound,flash,,,,,,
0,SET,LOOP,7,,,,,
0,:LOOP0,,,,,,,
0,RND,RA,6,,,,,
0,BlackScreen,1,,,,,,
0,Sound,flash,,,,,,
0.2,BlackScreen,0,,,,,,
0,Sound,flash,,,,,,
0,JMPE,RA3,$RA,1,,,,
0,JMPE,RA6,$RA,2,,,,
0,JMPE,RA8,$RA,3,,,,
0,JMPE,RA9,$RA,4,,,,
0,JMPE,RA10,$RA,5,,,,
0,JMPE,RA12,$RA,6,,,,
0,CombatZoneResizeInstant,133,226,508,391,,,
0,HeartTeleport,320,308,,,,,
0,HeartMode,0,,,,,,
0,:RA3,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,SansSlam,1,,,,,,
0,BoneStab,1,50,0.65,9,,,
0.2,SET,LOOP4,12,,,,,
0,SET,Y1,85,,,,,
0,SET,XL,128,,,,,
0,SET,XR,503,,,,,
0,:LOOP4,,,,,,,
0,BoneV,$XL,256,$Y1,0,600,,
0,BoneV,$XR,256,$Y1,2,600,,
0,ADD,Y2,$Y1,281,,,,
0,SUB,Y3,386,$Y2,,,,
0,BoneV,$XL,$Y2,$Y3,0,600,,
0,BoneV,$XR,$Y2,$Y3,2,600,,
0,SUB,Y1,$Y1,3.75,,,,
0,SUB,XL,$XL,15,,,,
0,ADD,XR,$XR,15,,,,
0,SUB,LOOP4,$LOOP4,1,,,,
0,JMPNZ,LOOP4,$LOOP4,,,,,
0.8,SansSlam,3,,,,,,
0,BoneStab,3,50,0.5,9,,,
0.9,JMPABS,AE,,,,,,
0,:RA6,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0,BoneV,128,256,130,0,300,2,
0,BoneV,503,256,130,2,300,2,
0.4,BoneV,128,256,130,0,300,1,
0,BoneV,503,256,130,2,300,1,
0.4,SET,LOOP7,10,,,,,
0,SET,Y1,85,,,,,
0,SET,XL,128,,,,,
0,SET,XR,503,,,,,
0,:LOOP7,,,,,,,
0,ADD,Y2,$Y1,281,,,,
0,SUB,Y3,386,$Y2,,,,
0,BoneV,$XL,$Y2,$Y3,0,450,,
0,BoneV,$XR,$Y2,$Y3,2,450,,
0,SUB,Y1,$Y1,5,,,,
0,SUB,XL,$XL,15,,,,
0,ADD,XR,$XR,15,,,,
0,SUB,LOOP7,$LOOP7,1,,,,
0,JMPNZ,LOOP7,$LOOP7,,,,,
0.34,SET,LOOP8,23,,,,,
0,SET,XL,128,,,,,
0,SET,XR,503,,,,,
0,:LOOP8,,,,,,,
0,BoneV,$XL,321,65,0,450,,
0,BoneV,$XR,321,65,2,450,,
0,SUB,XL,$XL,15,,,,
0,ADD,XR,$XR,15,,,,
0,SUB,LOOP8,$LOOP8,1,,,,
0,JMPNZ,LOOP8,$LOOP8,,,,,
0.76,JMPABS,AE,,,,,,
0,:RA8,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0,BoneV,128,256,87,0,180,,
0,BoneV,503,256,87,2,300,,
0,BoneV,128,361,25,0,180,,
0,BoneV,503,361,25,2,300,,
0,BoneV,128,256,82,0,210,,
0,BoneV,503,256,82,2,330,,
0,BoneV,128,356,30,0,210,,
0,BoneV,503,356,30,2,330,,
0,BoneV,128,256,84,0,240,,
0,BoneV,503,256,84,2,360,,
0,BoneV,128,358,28,0,240,,
0,BoneV,503,358,28,2,360,,
0.9,BoneV,128,256,58,0,300,,
0,BoneV,128,331,55,0,300,,
0,BoneV,128,256,58,0,330,,
