0,CombatZoneResize,133,226,508,391,,,,
0,HeartTeleport,153,318,,,,,,
0,HeartMode,1,,,,,,,
0,Platform,133,326,40,0,82,1,,
0,GasterBlaster,1,143,0,143,180,90,0.4,999
0,GasterBlaster,1,498,0,498,180,90,0.4,999
0,BoneVRepeat,210,356,40,1,120,50,70,
0,BoneVRepeat,282,231,50,3,100,50,80,
0,BoneVRepeat,354,366,30,1,140,50,70,
0,BoneVRepeat,426,231,40,3,120,50,70,
0,BoneVRepeat,488,231,30,0,75,24,15,
0,BoneVRepeat,143,356,30,2,75,24,15,
0,SET,LOOP,80,,,,,,
0,:LOOP1,,,,,,,,
0,BoneV,128,231,30,0,75,,,
0,BoneV,503,356,30,2,75,,,
0,SUB,LOOP,$LOOP,1,,,,,
0.2,JMPNZ,LOOP1,$LOOP,,,,,,
0,EndAttack,,,,,,,,
